district,block,cluster,code,name,genre
koppal,kustagi,jumalapur,20201,	GLPS IDLAPUR	,Lower Primary
koppal,kustagi,koradakera,20334,	GLPS SC COLONY HIREBANNIGOL	,Lower Primary
bangalore rural,devanahalli,sadahalli,36762,GKHPS NERAGANAHALLI,Upper Primary
koppal,kustagi,adavibhavi,20126,	GHPS ADAVIBHAVI	,Upper Primary
bangalore,south-1,kengeri,32422,GKHPS VALAGEREHALLI,Upper Primary
bangalore rural,devanahalli,sadahalli,36753,GKLPS KEMPATHIMMANAHALLI,Model Primary
bangalore rural,hosakote,thavarekere,35937,G LPS LINGAPURA,Lower Primary
bangalore,bangalore south(banashankari),kaggalipura,29647,NELGULI,Anganwadi
bangalore rural,hosakote,jadigenahalli,35969,G HPS KB HOSAHALLI,Lower Primary
koppal,kustagi,adavibhavi,20137,	GLPS MALKAPUR	,Lower Primary
gadag,mundaragi,mundaragi city west,36879,GHPS SHIROL ( MUNDARAGI),Upper Primary
gadag,mundaragi,kadampur,36860,GHPS KAPPATAGIRI(DONI T),Upper Primary
gadag,mundaragi,mundaragi rural,36888,GHPS MUKTUMPUR,Upper Primary
bangalore rural,hosakote,devanagundi,35996,G UHPS MUTHKURU,Upper Primary
bangalore rural,hosakote,nelavagilu,36072,G HPS HINDIGANALA,Upper Primary
bangalore,anekal taluk,haragadde,31382,HARAGADDE A,Anganwadi
bangalore rural,hosakote,bilanarasapura,35925,G LPS GUNDRAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36632,Ramligeshwar nagar -5,Anganwadi
bangalore rural,hosakote,thavarekere,36273,GLPS BANDAHALLI,Lower Primary
bangalore,sumangali seva ashrama,murphy town,30956,SANJAYA NAGAR 1,Anganwadi
bangalore,bangalore south(banashankari),varthur,33755,VIJAYNAGAR,Anganwadi
bangalore,sumangali seva ashrama,dodda banaswadi,29614,DODDABANASWADI,Anganwadi
koppal,kustagi,sanghanal,20269,	GHPS SANGANHAL	,Upper Primary
bangalore rural,devanahalli,nalluru,36731,GKHPS BALEPURA,Model Primary
koppal,kustagi,hiregonnagar,20296,	GLPS GADACHINTI	,Lower Primary
koppal,kustagi,adavibhavi,20139,	GHPS MUDUTAGI	,Upper Primary
bangalore rural,hosakote,bendiganahalli,36025,G LPS THIMMAPPANAHALLI,Lower Primary
bangalore,sumangali seva ashrama,sultanpalya,30368,K.G.HALLI  3,Anganwadi
gadag,mundaragi,hirawaddatti,36850,GHPGS HIREWADDATTI,Upper Primary
gadag,mundaragi,shingtalur,36913,GHPS SHINGATALUR,Upper Primary
gadag,mundaragi,korlahalli,36868,GHPS KORLHALLI,Upper Primary
koppal,kustagi,mudenur,20204,	GLPS KUDLUR	,Lower Primary
