id,district,blocks,clusters,genre,types,school_name,mobile_no,dates,months,years,question1,question2,question3,question4,question5,question6
1,bangalore_urban,anekal taluk,kasaba 2,preschool,Anganwadi,KUVEMPUNAGARA B,919886042017,17,7,2013,1,,,,,
2,bangalore_rural,anekal taluk,kasaba 2,preschool,Anganwadi,KUVEMPUNAGARA B,919448355960,18,9,2013,1,1,1,1,,
3,bangalore_rural,anekal taluk,kasaba 2,preschool,Anganwadi,KUVEMPUNAGARA B,9900080412,6,2,2009,1,1,1,1,,
4,bangalore_rural,anekal,anekal,school,Upper Primary,GKHPS  ANEKAL,919886042017,18,9,2013,1,,,,,
5,bangalore_rural,sumangali seva ashrama,dodda banaswadi,preschool,Anganwadi,KARIYANAPALYA2,9741390717,18,9,2013,1,0,1,1,331,2
6,bangalore_rural,sumangali seva ashrama,dodda banaswadi,preschool,Anganwadi,KARIYAN PALYA1,9741390717,18,9,2013,1,1,1,1,15,2
7,bangalore_rural,north-3,kaval byrasandra,school,Upper Primary,GUHPS MUSLIM COLONY,9741390787,19,9,2013,1,1,1,0,1,2
8,bangalore_rural,north-3,kaval byrasandra,school,Upper Primary,GUHPS VENKATESHPURA,9741390787,19,9,2013,1,1,1,0,1,1
9,bangalore_rural,bangalore south(banashankari),varthur,preschool,Anganwadi,SIDDAPURA,9741390717,19,9,2013,1,1,0,1,31,2
10,bangalore_rural,north-3,kaval byrasandra,school,Model Primary,GUMPS KG HALLI,9741390787,20,9,2013,1,1,1,1,1,2
11,bangalore_rural,north-3,kaval byrasandra,school,Upper Primary,GKHPS KG HALLI,9741390787,20,9,2013,1,1,1,0,1,2
12,bangalore_rural,north-3,pottery town,school,Upper Primary,GUHPBS FRAZER TOWN,9741390787,20,9,2013,1,0,1,1,1,1
13,bangalore_rural,north-3,kaval byrasandra,school,Lower Primary,GKLPS ASHOK NAGAR,9900077416,20,9,2013,1,1,1,1,1,2
14,bangalore_rural,north-3,kaval byrasandra,school,Lower Primary,GTLPS ASHOK NAGAR,9900077416,20,9,2013,1,1,1,1,0,2
15,bangalore_rural,north-3,kaval byrasandra,school,Upper Primary,GKMPS K B SANDRA,9900077416,20,9,2013,1,0,1,1,1,2
16,bangalore_rural,north-3,banaswadi,school,Lower Primary,GKLPS LINGARAJAPURAM A BLOCK,9900077416,20,9,2013,1,1,1,1,1,2
17,bangalore_rural,north-3,banaswadi,school,Model Primary,GKMPS LINGARAJAPURA,9900077416,20,9,2013,1,1,1,1,1,2
18,bangalore_rural,bangalore north (yelahanka),agrahara layout,preschool,Anganwadi,SRINIVASPURA,9741390717,21,9,2013,1,1,1,1,17,1
19,bangalore_rural,bangalore north (yelahanka),agrahara layout,preschool,Anganwadi,AMBEDKAR NAGAR (YELAHANKA),9741390717,23,9,2013,1,1,1,0,17,2
20,bangalore_rural,bangalore north (yelahanka),agrahara layout,preschool,Anganwadi,BYATARAYANAPURA 1,9741390717,23,9,2013,1,1,1,1,15,2
21,bangalore_rural,north-2,hebbal,school,Upper Primary,GKHPS CHOLANAYAKANAHALLI (HEBBAL),9900077414,24,9,2013,1,1,0,1,1,2
22,bangalore_rural,north-2,hebbal,school,Upper Primary,GKHPS MANNARAYANAPALYA,9900077414,24,9,2013,1,1,0,1,1,2
23,bangalore_rural,north-2,hebbal,school,Lower Primary,GKLPS VISHWANATH NAGENAHALLI,9900077414,24,9,2013,1,1,0,1,1,2
24,bangalore_rural,north-4,byatarayanapura,school,Model Primary,GKMPS NAGAVARA,9900077414,26,9,2013,1,1,1,0,1,2
25,bangalore_rural,north-4,byatarayanapura,school,Upper Primary,GKHPS GOVINDAPURA,9900077414,26,9,2013,1,0,1,1,1,2
26,bangalore_rural,north-4,byatarayanapura,school,Lower Primary,GKLPS VEERANNANA PALYA,9900077414,26,9,2013,1,1,1,1,0,2
27,bangalore_rural,north-4,byatarayanapura,school,Upper Primary,GUHPS AL-HILAL NAGAR,9900077414,26,9,2013,1,0,0,1,0,3
28,bangalore_rural,north-4,byatarayanapura,school,Lower Primary,GULPS GOVINDAPURA,9900077414,26,9,2013,1,0,0,1,0,3
29,bangalore_rural,sumangali seva ashrama,kodihalli,preschool,Anganwadi,BENNIGANA HALLI,9741390717,1,10,2013,1,1,1,1,15,2
30,bangalore_rural,north-4,byatarayanapura,school,Upper Primary,GKHPS AMRUTHAHALLI,9900077414,1,10,2013,1,1,1,1,1,2
31,bangalore_rural,north-4,byatarayanapura,school,Upper Primary,GUMPS NAGAVARA,9900077414,1,10,2013,1,0,1,0,1,3
32,bangalore_rural,north-4,byatarayanapura,school,Upper Primary,GUMPS NAGAVARA,9900077414,1,10,2013,1,0,1,0,1,3
33,bangalore_rural,north-4,byatarayanapura,school,Upper Primary,GKHPS CHOKKENAHALLI,9900077414,1,10,2013,1,1,0,1,1,2
34,bangalore_rural,north-4,byatarayanapura,school,Lower Primary,GKLPS AMRUTH NAGAR,9900077414,1,10,2013,1,1,1,1,1,2
35,bangalore_rural,north-4,byatarayanapura,school,Lower Primary,GKLPS SAMPIGEHALLI,9900077414,1,10,2013,1,1,0,1,1,2
36,bangalore_rural,sumangali seva ashrama,kodihalli,preschool,Anganwadi,YAMALURU 1,9741390717,3,10,2013,1,1,1,1,10,2
37,bangalore_rural,sumangali seva ashrama,kodihalli,preschool,Anganwadi,YEMALORE 2,9741390717,3,10,2013,1,1,1,1,7,2
38,bangalore_rural,sumangali seva ashrama,kodihalli,preschool,Anganwadi,KEMPAPURA,9741390717,3,10,2013,1,1,0,1,14,2
39,bangalore_rural,bangalore north (yelahanka),agrahara layout,preschool,Anganwadi,JAKKUR 2,9741390717,5,10,2013,1,1,0,1,15,2
40,bangalore_rural,bangalore north (yelahanka),hesaragatta,preschool,Anganwadi,MAVALIPURA,9741390717,7,10,2013,1,1,1,1,8,1
41,bangalore_rural,bangalore north (yelahanka),hesaragatta,preschool,Anganwadi,DODDABYALAKERE,9741390717,7,10,2013,1,1,1,1,13,1
42,bangalore_rural,sumangali seva ashrama,dodda banaswadi,preschool,Anganwadi,VIJANAPUR-6,9741390717,15,10,2013,1,1,0,1,5,3
43,bangalore_rural,north-3,banaswadi,school,Upper Primary,GKHPS DODDA BANASWADI,9741390792,18,10,2013,1,1,,,,
44,bangalore_rural,north-2,sriramapura,school,Upper Primary,GKGHPS SRIRAMPURA,9741390792,18,10,2013,0,0,0,0,0,2
45,bangalore_rural,bangalore south(banashankari),varthur,preschool,Anganwadi,GANDHIPURA,9741390717,21,10,2013,1,1,1,1,16,1
46,bangalore_rural,bangalore south(banashankari),varthur,preschool,Anganwadi,VIJAYNAGAR,9741390717,21,10,2013,1,0,0,0,20,3
